20,-5.5
50,-5.5
55,-6.3
60,-6.2
70,-3.7
80,-2.7
90,-2
100,-1.3
120,-1.1
155,-0.2
200,0
1000,0
2000,0.7
2500,0
3000,0.7
4000,1.7
5000,2.3
6000,4.1
7000,4.1
8000,4.5
9000,4.7
10000,3.8
11000,3.8
14000,2.9
18000,6
20000,2.5
